Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,247,50,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Seed Germination,0.375,Less
CEINT,248,51,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Seed Germination,0,Less
CEINT,249,51,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Seed Germination,0.216667,Less
CEINT,250,51,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Seed Germination,0.016667,Less
CEINT,251,51,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Seed Germination,0.283333,Less
CEINT,252,52,Dispersive,NanoSilver,0,mg/L,Carex lurida,Leaf Length,0,Less
CEINT,253,52,Dispersive,NanoSilver,1,mg/L,Carex lurida,Leaf Length,0.107143,Less
CEINT,254,52,Dispersive,NanoSilver,10,mg/L,Carex lurida,Leaf Length,0.02381,Less
CEINT,255,52,Dispersive,NanoSilver,40,mg/L,Carex lurida,Leaf Length,0.339286,Less
CEINT,256,53,Dispersive,NanoSilver,0,mg/L,Carex crinita,Leaf Length,0,Less
CEINT,257,53,Dispersive,NanoSilver,1,mg/L,Carex crinita,Leaf Length,0.05102,Less
CEINT,258,53,Dispersive,NanoSilver,10,mg/L,Carex crinita,Leaf Length,0.045918,Less
CEINT,259,53,Dispersive,NanoSilver,40,mg/L,Carex crinita,Leaf Length,0.045918,Less
CEINT,260,54,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Leaf Length,0,Less
CEINT,261,54,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Leaf Length,0.129771,Less
CEINT,262,54,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Leaf Length,0.137405,Less
CEINT,263,54,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Leaf Length,0.038168,Less
CEINT,264,55,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Leaf Length,0,Less
CEINT,265,55,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Leaf Length,0.044304,Less
CEINT,266,55,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Leaf Length,0.018987,Less
CEINT,267,55,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Leaf Length,0.120253,Less
CEINT,268,56,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Leaf Length,0,Less
CEINT,269,56,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Leaf Length,0.009524,Less
CEINT,270,56,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Leaf Length,0.019048,Less
CEINT,271,56,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Leaf Length,0.866667,Less
CEINT,272,57,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Leaf Length,0,Less
CEINT,273,57,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Leaf Length,0.119048,Less
CEINT,274,57,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Leaf Length,0.02381,Less
